tagID,tag
736,nuclear war
738,Suspense
740,based on a true story
742,KIDNAPPING
743,Steve Buscemi
744,edward norton
753,freedom of expression
755,Monty Python
756,emotional
757,jack nicholson
759,archaeology
760,indiana jones
764,aliens
765,horror
768,space craft
769,SPACE TRAVEL
771,Alfred Hitchcock
773,suspenseful
774,tense
778,Sci-Fi
779,special effects
783,disturbing
784,Horror
786,masterpiece
788,Stanley Kubrick
791,Juliette Lewis
793,Robert De Niro
796,plot twist
802,mental illness
804,paranoid
806,crude humor
807,goofy
809,creepy
810,paranoia
811,scary
813,SNL
815,Nicolas Cage
816,martial arts
818,adult humor
821,free speech
822,parody
824,south park
825,Trey Parker
835,obsession
837,secrets
838,serial killer
840,asylum
842,Brittany Murphy
843,Mental Hospital
845,winona ryder
846,claustrophobic
849,stephen king
855,scifi cult
863,ben stiller
865,David Bowie
867,mindless one liners
869,jake gyllenhaal
871,high fantasy
873,mythology
874,tolkien
875,wizards
877,samurai
882,Rob Zombie
883,jim carrey
888,powerful ending
890,schizophrenia
893,lesbian
897,Jake Gyllenhaal
898,Modern war
900,Jack Nicholson
904,based on a play
907,Insanity
909,PTSD
912,claymation
915,dark fairy tale
916,Surreal
923,insanity
928,Psychological Thriller
936,stranded
937,alter ego
943,illusions
944,overcomplicated
946,stupid ending
947,absorbing
948,acting
950,Hugh Jackman
952,morality
957,uplifting
960,too long
966,Metaphorical
968,annoying
969,Stupid ending
974,Myth
977,Cambodia
978,crime
979,human rights
981,procedural
983,game
984,pregnancy
985,remake
988,president
992,Jane Austen
993,Hollywood
995,alcoholism
996,Shakespeare
997,In Netflix queue
999,kidnapping
1001,teacher
1003,Animal movie
1004,pigs
1005,death penalty
1006,Nun
1007,twins
1008,Emma
1011,South Africa
1013,England
1014,Journalism
1017,heist
1018,adoption
1019,prostitution
1020,writing
1022,Jekyll and Hyde
1023,theater
1025,golf
1026,muppets
1027,Scotland
1029,Holocaust
1030,dating
1031,journalism
1032,moon
1033,NASA
1036,Michael Crichton
1037,submarine
1039,computers
1040,Made me cry
1041,generation X
1042,school
1043,Ireland
1047,Stephen King
1049,movie business
1050,basketball
1051,France
1052,infertility
1054,Australia
1055,Beethoven
1056,Einstein
1057,court
1058,darth vader
1059,luke skywalker
1060,space opera
1061,Louisa May Alcott
1063,Girl Power
1067,Christmas
1069,prison
1070,disability
1073,hit men
1075,TV
1076,Death
1077,marriage
1082,wrongful imprisonment
1084,Enterprise
1087,coma
1089,weddings
1090,cross dressing
1091,men in drag
1092,remade
1093,Tom Clancy
1094,John Grisham
1095,interracial romance
1096,shrimp
1097,Vietnam
1099,gambling
1104,bus
1105,spies
1107,Edith Wharton
1108,horses
1111,President
1113,based on a TV show
1114,hula hoop
1117,biopic
1118,Dinosaur
1119,Japan
1120,sexuality
1125,AIDs
1126,radio
1127,show business
1128,Butler
1129,Housekeeper
1132,racism
1134,football
1136,chess
1138,C.S. Lewis
1139,large cast
1140,race
1141,Empire State Building
1143,beat poetry
1145,Halloween
1147,adolescence
1148,christmas
1152,American Indians
1153,Native Americans
1155,Hannibal Lector
1162,priest
1163,babies
1164,Gulf War
1168,spoof
1169,Bugs Bunny
1170,Veterinarian
1171,Aardman
1173,Alcatraz
1174,Disaster
1177,Atomic bomb
1178,drug abuse
1183,adultery
1192,Capote
1193,falling
1194,voyeurism
1195,Screwball
1196,Brooch
1198,Mount Rushmore
1202,start of a beautiful friendship
1203,statue
1204,George Bernard Shaw
1205,rich guy - poor girl
1206,Italy
1207,royalty
1208,1900s
1209,Dorothy
1210,Toto
1211,Civil War
1212,television
1213,movies
1214,Rosebud
1215,Hal
1219,Mrs. DeWinter
1220,Europe
1222,war
1224,amnesia
1226,Cold War
1227,Russia
1229,swashbuckler
1232,Shangri-La
1233,Astaire and Rogers
1234,butler
1235,homeless
1236,screwball
1237,oil
1238,Nick and Nora Charles
1242,Politics
1243,leopard
1246,fugitive
1248,missionary
1250,Tennessee Williams
1252,Hemingway
1255,food
1263,King Arthur
1265,nanny
1270,Rogers and Hammerstein
1272,Music
1275,anti-Semitism
1276,governess
1277,fish
1278,Bible
1280,religion
1283,1920s
1284,gangsters
1285,dance
1290,1960s
1291,Jim Morrison
1295,Navy
1296,1950s
1299,aging
1300,Clousseau
1304,boxing
1320,I am your father
1323,Inigo Montoya
1324,six-fingered man
1326,ark of the covenant
1329,spaghetti western
1331,Middle East
1332,brainwashing
1333,Harper Lee
1340,ferris wheel
1341,Venice
1342,zither
1346,Norman Bates
1347,Saturday Night Live
1352,Mozart
1353,Salieri
1355,New York
1359,The Entertainer
1360,May-December romance
1362,death
1365,Shakespeare sort of
1369,Simon and Garfunkel
1371,POW
1372,incest
1374,Cold
1375,skiing
1391,Nazis
1393,gunfight
1394,Hammett
1396,heavy metal
1397,mockumentary
1400,Holy Grail
1403,E. M. Forster
1408,baseball
1412,birds
1414,lawyer
1416,prom
1418,vampires
1419,demons
1420,personals ads
1422,Borg
1423,ex-con
1426,Arthur Miller
1429,Klingons
1430,Captain Kirk
1431,whales
1435,Shark
1436,shark
1437,sports
1439,spying
1441,slasher
1443,Hawkeye
1444,James Fennimore Cooper
1446,Conan
1447,Andrew Lloyd Weber
1454,jungle
1456,Tolstoy
1458,reunion
1460,ballroom dance
1462,dinosaurs
1465,transplants
1470,Police
1472,1970s
1474,Queen Victoria
1475,lawyers
1476,Henry James
1480,Amish
1481,alternate universe
1484,Savannah
1488,Canada
1490,shipwreck
1492,Charles Dickens
1494,1980s
1498,No DVD at Netflix
1502,conspiracy
1507,ships
1510,Judaism
1511,Huey Long
1513,Robert Penn Warren
1515,coulda been a contender
1516,Gangs
1518,Dickens
1525,Olympics
1529,China
1530,autism
1531,rasicm
1532,Jason
1537,halloween
1543,California
1544,Mexico
1549,Katzanzakis
1554,General Motors
1555,Michigan
1562,suburbia
1566,carnival
1567,Ray Bradbury
1568,mermaid
1569,weather forecaster
1570,S.E. Hinton
1572,Tolkein
1576,mice
1581,aquarium
1582,Boston
1586,Capone
1589,small towns
1591,train
1594,In Your Eyes
1595,Lloyd Dobbler
1599,freaks
1601,Broadway
1613,South America
1618,Moses
1627,e-mail
1629,doctors
1637,Hungary
1638,stapler
1639,workplace
1644,evil children
1646,Siam
1651,southern US
1652,golfing
1653,virtual reality
1654,motherhood
1655,prequel
1656,the Force
1664,alternate endings
1665,Star Trek
1666,spiders
1667,claims to be true
1668,video
1671,Ghosts
1675,crucifixion
1677,slavery
1678,Missionary
1679,Priest
1680,nostalgia
1684,I see dead people
1686,aviation
1693,Beatles
1694,river
1700,Academy award (Best Supporting Actress)
1701,Indonesia
1707,nightclub
1708,island
1712,brothers
1713,lawn mower
1716,live action/animation
1718,tobacco
1721,dance marathon
1724,class
1725,camp
1733,Up series
1734,Ichabod Crane
1736,new york
1737,depression
1738,dust bowl
1747,Graham Greene
1748,fatherhood
1750,black-and-white
1751,L.A.
1752,Andy Kaufman
1760,a dingo ate my baby
1762,nuns
1764,plastic surgery
1766,E.M. Forster
1768,figure skating
1772,big top
1773,circus
1774,blind
1775,orphans
1782,subway
1783,Peace Corp
1786,scandal
1789,college
1790,TOGA
1792,aardman
1793,Insurance
1794,Pearl S Buck
1795,Hepburn and Tracy
1796,interracial marriage
1797,prejudice
1801,factory
1802,pool
1804,evolution
1807,Nick Hornby
1808,Peter Pan
1815,families
1816,psychiatrist
1818,rabbi
1821,Gambling
1824,suicide
1826,business
1828,Pee Wee Herman
1829,mining
1841,missing children
1842,diabetes
1845,televangelist
1849,Rolling Stone
1850,blindness
1852,Dogs
1853,invisibility
1856,ballet
1858,Dr. Seuss
1860,china
1863,stand-up comedy
1866,pageant
1867,bluegrass
1870,Quakers
1871,psychopaths
1879,reality TV
1880,Eugene O'Neill
1885,preacher
1889,virginity
1890,Hannibal Lecter
1892,von Bulow
1896,Backwards. memory
1898,singletons
1899,Nabokov
1901,Union
1903,fairy tales
1908,Strangers on a Train
1914,accident
1919,rape
1923,immigrants
1926,hippies
1942,prodigies
1945,Nuclear disaster
1946,union
1950,Loretta Lynn
1952,Tradition!
1958,Wizards
1964,singers
1965,whimsical
1970,Agatha Christie
1975,Ghost
1976,Dumas
1997,books
2000,sisterhood
2001,women
2004,Oscar Wilde
2010,younger men
2011,AS Byatt
2013,photography
2023,bombs
2025,Lou Gehrig
2026,violence in america
2027,pudding
2030,made me cry
2034,World War I
2035,art
2037,teenagers
2038,salute to Douglas Sirk
2041,music business
2042,short films
2052,jazz
2057,planes
2068,doll
2070,Chile
2082,Stephen Crane
2083,Day and Hudson
2086,Stones of Summer
2090,soccer
2092,animal movie
2093,lions
2102,Big Brothers
2106,gangs
2107,Titanic
2116,spelling bee
2117,Jean Grey
2118,Magneto
2119,Rogue
2121,Wolverine
2122,teachers
2124,trains
2127,retro
2131,They Might Be Giants
2135,child abuse
2137,Ninotchka remake
2140,Tokyo
2152,Dodie Smith
2153,flood
2154,immigration
2159,Othello
2161,cancer
2162,road trip
2165,multiple roles
2169,FBI
2171,terminal illness
2172,con men
2174,vertriloquism
2178,matchmaker
2179,vampire
2184,biking
2186,Lonesome Polecat
2189,Watergate
2191,Food
2193,domestic violence
2194,werewolf
2209,Thanksgiving
2213,Rita Hayworth can dance!
2220,rap
2226,saint
2228,good and evil
2230,Scott Turow
2243,cattle drive
2251,Marx brothers
2254,opera
2259,real estate
2262,Charlotte Bronte
2267,truckers
2269,mountain climbing
2276,Grace
2283,multiple personalities
2291,deaf
2293,space station
2301,MacBeth
2311,Amtrak
2312,Homeless
2313,independent
2315,Sundance award winner
2316,Train
2325,Van Gogh
2328,Not available from Netflix
2330,Anne Boleyn
2334,Clock
2335,Prince
2338,convent
2341,ogres
2352,deafness
2354,McDonalds
2363,Doc Ock
2368,Cole Porter
2374,Stand Up
2380,Oscar (Best Supporting Actress)
2385,parenthood
2387,stage
2388,wine
2390,abortion
2395,Hearst
2399,gold
2405,mirrors
2409,donkey
2416,saints
2418,camels
2424,genocide
2425,roald dahl
2427,Howard Hughes
2430,busniess
2434,06 Oscar Nominated Best Movie - Animation
2441,parrots
2444,money
2450,hip hop
2452,Firefly
2457,bears
2469,Truman Capote
2478,McCarthy hearings
2479,Morrow
2484,Johnny Cash
2497,villain nonexistent or not needed for good story
2500,stop looking at me swan
2502,androids
2508,Philip K. Dick
2509,Scifi masterpiece
2511,drama
2515,Michael Bay
2520,GIVE ME BACK MY SON!
2521,It was melodramatic and kind of dumb
2522,Mel Gibson
2526,James Stewart
2530,photographer
2534,eerie
2537,neo-noir
2542,George Lucas
2543,Harrison Ford
2545,original plot
2552,anti-war
2555,visually stunning
2556,cameo:Whoopi Goldberg
2560,best comedy
2561,Chris Klein
2562,dumb
2563,Jason Biggs
2564,not funny
2565,pizza beer
2566,Seann William Scott
2567,teen
2576,dialogue
2577,guns
2578,Jesse Ventura
2579,macho
2583,comics
2584,father-son relationship
2586,unique
2590,creativity
2592,free to download
2593,imagination
2594,no dialogue
2596,mental hospital
2599,Well Done
2607,crappy sequel
2608,first was much better
2613,love
2618,M. Night Shyamalan
2621,big budget
2623,Halle Berry
2625,bad
2626,disappointing
2627,faerie tale
2628,fairy tale
2629,far fetched
2631,Paul Giamatti
2632,costume drama
2633,Edward Norton
2634,magic
2640,Michael Cera
2641,nerds
2642,self discovery
2643,shenanigans
2646,alone in the world
2649,last man on earth
2656,notable soundtrack
2658,teenage pregnancy
2661,Colin Farrell
2666,Ralph Fiennes
2668,movies about movies
2674,Coen Bros
2678,George Clooney
2679,John Malkovich
2681,twists & turns
2682,weird
2683,2D animation
2687,joss whedon
2688,Nathan Fillion
2689,Neil Patrick Harris
2691,Andy Samberg
2693,bromantic
2695,Jaime Pressly
2696,Jason Segel
2697,masculinity
2699,2001-like
2700,Sci-fi
2701,solitude
2706,too many characters
2708,lack of development
2709,lack of story
2710,quick cuts
2712,Simon Pegg
2714,space travel
2721,FIGHTING THE SYSTEM
2722,franchise
2723,new composer
2728,Recap
2731,needed more autobots
2733,ridiculous
2734,Shia LaBeouf
2735,stop using useless characters for filler
2736,artistic
2737,Funny
2739,inspiring
2740,intelligent
2743,Zooey Deschanel
2744,intelligent sci-fi
2745,bad humor
2746,bad science
2747,futuristic
2748,graphic design
2749,James Cameron
2751,poor dialogue
2753,superficial plot
2754,unoriginal
2755,white guilt
2759,geeky
2762,video games
2763,male nudity
2764,action choreography
2765,Horrid characterisation
2766,Poor plot development
2769,passion
2778,purity of essence
2779,Slim Pickens
2780,Deep Throat
2781,Dan Aykroyd
2782,enjoyable
2783,bubba gump shrimp
2784,lieutenant dan
2785,stupid is as stupid does
2787,biography
2795,philosophy
2796,post apocalyptic
2797,depressing
2799,cheating
2802,lies
2803,smart
2806,memory loss
2808,sad
2810,Denzel Washington
2814,robbery
2815,small time criminals
2816,casino
2819,hotel
2820,Las Vegas
2832,complicated
2833,dead wife
2836,intellectual
2846,too much love interest
2849,economics
2850,investor corruption
2852,truth
2853,Captain America
2854,silly
2856,superhero team
2857,bank
2858,big corporations
2861,financial crisis
2862,Kevin Spacey
2863,realistic
2865,Wall Street
2868,interesting scenario
2870,cia
2872,Thrilling
2875,cliche characters
2876,long shots
2878,Simple
2879,slow action
2881,hostage
2882,ocean
2884,Stock Market
2887,fun
2888,off-beat comedy
2891,bittersweet
2893,heartwarming
2894,touching
2897,existentialism
2898,philosophical
2901,Quirky
2903,confrontational
2904,earnest
2906,great screenplay
2907,gritty
2908,Motivational
2911,cerebral
2914,reflective
2916,chilly
2918,menacing
2920,oninous
2925,avant-garde romantic comedy
2926,elegiac
2927,melancholy
2929,wry
2930,artsy
2933,enigmatic
2943,beautiful
2946,Heartwarming
2947,poignant
2949,tear jerker
2950,tearjerking
2952,gentle
2954,lyrical
2956,downbeat
2959,crazy
2964,great cinematography
2966,easygoing
2968,art house
2971,cryptic
2976,fucked up
2977,gruesome
2979,Insane
2981,strange
2985,somber
2987,Beautiful
2989,dreamy
2990,elegant
2991,heartbreaking
2992,intimate
2993,loneliness
2994,long takes
2995,longing
2996,melancholic
2998,moody
2999,nocturnal
3000,romantic
3001,Unique
3006,"""artsy"""
3025,anger
3026,awkward
3032,symbolism
3034,unconventional
3036,wistful
3039,grim
3042,tragedy
3043,tragic
3046,Depressing
3050,meditative
3053,purposefulness
3055,bleak
3058,harsh
3063,haunting
3064,inhumane
3066,arthouse
3071,colourful
3076,happpiness
3077,humane
3078,insightful
3080,lovely
3082,mind-bending
3085,quirky romantic
3088,surrealism
3097,symbolic
3098,bizarre
3105,twisted
3109,trippy
3124,character study
3126,intense
3130,abstract
3168,great humor
3174,beautiful cinematography
3175,beautifully filmed
3178,philosopical
3199,fatalistic
3200,cheeky
3202,colorful
3205,imaginative
3207,bad dialogue
3208,philosophical issues
3211,adorable
3213,Eccentric
3214,introspection
3221,Great Visuals
3223,unlikely hero
3226,bizzare
3234,slick
3238,Dark
3240,Sad
3241,Visually appealing
3251,understated
3260,Visually Striking
3262,tension
3265,Moving
3266,contemplative
3272,Witty
3273,Existential
3277,nightmare
3284,beautiful visuals
3285,Cerebral
3287,good cinematography
3299,predictible plot
3301,Suspenseful
3302,brilliant
3313,allegorical
3314,uncomfortable
3315,unsettling
3318,bad music
3320,Sinbad
3324,seen at the cinema
3325,Not Seen
3326,good
3333,really bad
3338,Great movie
3339,Wesley Snipes
3340,not seen
3344,BEST PICTURE
3347,steve carell
3348,HORRIBLE ACTING
3353,assassins
3354,awkward romance
3359,French
3361,Gary Oldman
3362,great acting
3363,Guns
3369,Lolita theme
3372,Luc Besson
3373,Natalie Portman
3376,police corruption
3382,1990s
3383,achronological
3385,action packed
3386,aggressive
3387,amazing
3388,amazing dialogues
3389,anthology
3392,AWESOME
3393,bad ass
3394,bad language
3395,bad-ass
3396,bible
3397,biblical references
3398,big boys with guns
3399,big name actors
3400,Black comedy
3401,black humor
3402,black humour
3403,blood
3404,blood splatters
3406,bruce willis
3408,casual violence
3409,character development
3412,classic movie
3413,coke
3415,conversation
3416,cool
3417,cool style
3419,crime scene scrubbing
3421,cult classic
3424,dancing
3429,different
3430,diner
3431,disjointed timeline
3434,drug overdose
3436,drugs & music
3438,entertaining
3439,entirely dialogue
3440,episodic
3441,exciting
3442,fast paced
3443,fast-paced
3444,film noir
3445,film-noir
3446,foul language
3451,genius
3452,golden watch
3454,good music
3455,gore
3457,great dialogue
3461,Harvey Keitel
3466,homosexuality
3467,humour
3468,iconic
3470,innovative
3475,intertwining storylines
3476,interwoven storylines
3478,irony
3479,John Travolta
3480,killer-as-protagonist
3481,los angeles
3484,meaningless violence
3485,milkshake
3486,mobster
3487,mobsters
3488,monologue
3489,motherfucker
3490,multiple stories
3493,noir
3495,non-linear timeline
3497,nonlinear narrative
3498,nonlinear storyline
3499,nonlinear timeline
3502,organised crime
3506,out of order
3507,Palme d'Or
3510,pop culture references
3512,pulp
3515,Quotable
3516,r:disturbing violent content including rape
3517,r:disturbing violent images
3518,r:graphic sexuality
3519,r:some violence
3520,r:strong bloody violence
3521,r:strong language
3522,r:sustained strong stylized violence
3523,r:violence
3524,random
3527,Roger Avary
3528,royal with cheese
3532,sexy
3533,smart writing
3534,sophisticated
3536,splatter
3538,storytelling
3545,travolta
3547,Uma Thurman
3549,unpredictable
3550,unusual
3556,apes
3557,Arthur C. Clarke
3562,computer
3563,confusing ending
3565,Dull
3573,Oscar (Best Effects - Visual Effects)
3576,relaxing
3577,revolutionary
3580,setting:space/space ship
3581,slow
3582,slow paced
3586,spacecraft
3588,superb soundtrack
3590,technology
3591,tedious
3592,visual
3595,bowling
3597,coen brothers
3600,Cult classic
3603,deadpan
3611,John Goodman
3612,Julianne Moore
3614,marijuana
3617,Philip Seymour Hoffman
3619,ransom
3620,rug
3622,satirical
3629,challenging
3630,Chuck Palahniuk
3634,consumerism
3638,David Fincher
3640,double life
3642,fighting
3645,imaginary friend
3648,mind-blowing
3651,Nudity (Topless)
3652,Palahnuik
3655,postmodern
3658,psychological thriller
3664,societal criticism
3667,TERRORISM
3675,British
3676,Romans
3677,70mm
3679,for katie
3680,austere
3681,gun fu
3682,heroic bloodshed
3683,Heroic Bloodshed
